loan,duration,poutcome,job,y
no,1553,unknown,blue-collar,yes
yes,1328,unknown,management,yes
yes,1125,unknown,retired,yes
no,858,unknown,blue-collar,yes
no,629,unknown,blue-collar,yes
no,704,unknown,admin.,yes
no,760,unknown,blue-collar,yes
no,930,unknown,retired,yes
no,1028,unknown,technician,yes
no,850,unknown,technician,yes
no,927,unknown,blue-collar,yes
no,1423,unknown,blue-collar,yes
no,1162,unknown,blue-collar,yes
yes,646,unknown,admin.,yes
no,755,unknown,blue-collar,yes
no,746,unknown,self-employed,yes
no,695,unknown,blue-collar,yes
no,483,unknown,blue-collar,yes
no,1257,unknown,admin.,yes
yes,520,unknown,unknown,yes
no,651,unknown,entrepreneur,yes
no,920,unknown,services,yes
no,500,unknown,admin.,yes
no,911,unknown,technician,yes
no,920,unknown,services,yes
no,1224,unknown,management,yes
no,1156,unknown,retired,yes
no,1052,unknown,blue-collar,yes
no,1867,unknown,technician,yes
no,1263,unknown,blue-collar,yes
no,697,unknown,services,yes
no,515,unknown,services,yes
yes,813,unknown,technician,yes
no,803,unknown,management,yes
no,844,unknown,admin.,yes
no,676,unknown,self-employed,yes
no,1252,unknown,services,yes
no,1143,unknown,blue-collar,yes
no,528,unknown,blue-collar,yes
no,688,unknown,blue-collar,yes
yes,803,unknown,admin.,yes
no,787,unknown,technician,yes
no,619,unknown,services,yes
no,1230,unknown,blue-collar,yes
no,767,unknown,blue-collar,yes
no,912,unknown,technician,yes
no,894,unknown,blue-collar,yes
no,1340,unknown,admin.,yes
no,897,unknown,technician,yes
no,1297,unknown,management,yes
no,1193,unknown,technician,yes
yes,1064,unknown,blue-collar,yes
no,1187,unknown,management,yes
no,882,unknown,admin.,yes
no,943,unknown,blue-collar,yes
no,607,unknown,admin.,yes
no,1022,unknown,blue-collar,yes
no,552,unknown,services,yes
no,1622,unknown,management,yes
yes,967,unknown,technician,yes
no,579,unknown,technician,yes
no,1218,unknown,technician,yes
no,446,unknown,blue-collar,yes
no,1205,unknown,blue-collar,yes
no,1882,unknown,services,yes
no,1334,unknown,blue-collar,yes
no,182,unknown,blue-collar,yes
no,1777,unknown,services,yes
no,1182,unknown,technician,yes
yes,1045,unknown,admin.,yes
no,650,unknown,technician,yes
yes,1063,unknown,blue-collar,yes
no,1410,unknown,technician,yes
no,843,unknown,blue-collar,yes
no,1392,unknown,blue-collar,yes
no,719,unknown,blue-collar,yes
no,565,unknown,blue-collar,yes
no,905,unknown,blue-collar,yes
no,783,unknown,technician,yes
yes,958,unknown,management,yes
no,412,unknown,blue-collar,yes
no,795,unknown,technician,yes
no,828,unknown,management,yes
no,649,unknown,blue-collar,yes
no,506,unknown,management,yes
yes,857,unknown,technician,yes
no,1681,unknown,retired,yes
no,681,unknown,services,yes
no,1697,unknown,technician,yes
no,860,unknown,technician,yes
no,799,unknown,technician,yes
no,611,unknown,blue-collar,yes
no,923,unknown,blue-collar,yes
no,521,unknown,blue-collar,yes
no,1349,unknown,blue-collar,yes
no,736,unknown,self-employed,yes
no,785,unknown,blue-collar,yes
yes,1073,unknown,blue-collar,yes
no,924,unknown,blue-collar,yes
no,1030,unknown,blue-collar,yes
no,893,unknown,admin.,yes
no,588,unknown,blue-collar,yes
no,777,unknown,blue-collar,yes
no,597,unknown,management,yes
no,1015,unknown,blue-collar,yes
no,1392,unknown,blue-collar,yes
no,414,unknown,technician,yes
no,788,unknown,technician,yes
no,682,unknown,services,yes
no,543,unknown,admin.,yes
no,745,unknown,blue-collar,yes
no,679,unknown,blue-collar,yes
no,1560,unknown,self-employed,yes
no,1234,unknown,admin.,yes
no,642,unknown,blue-collar,yes
no,895,unknown,management,yes
no,431,unknown,admin.,yes
no,741,unknown,admin.,yes
no,1272,unknown,management,yes
no,1446,unknown,services,yes
yes,414,unknown,admin.,yes
no,748,unknown,services,yes
no,896,unknown,blue-collar,yes
no,764,unknown,services,yes
no,1063,unknown,retired,yes
no,1205,unknown,technician,yes
yes,1051,unknown,entrepreneur,yes
no,740,unknown,management,yes
no,731,unknown,admin.,yes
no,935,unknown,self-employed,yes
yes,751,unknown,admin.,yes
no,709,unknown,blue-collar,yes
yes,3094,unknown,services,yes
no,938,unknown,management,yes
no,1560,unknown,management,yes
no,576,unknown,technician,yes
no,543,unknown,services,yes
no,615,unknown,self-employed,yes
no,507,unknown,management,yes
no,1183,unknown,services,yes
yes,694,unknown,blue-collar,yes
no,806,unknown,technician,yes
no,796,unknown,technician,yes
no,664,unknown,student,yes
yes,648,unknown,retired,yes
no,864,unknown,management,yes
no,1730,unknown,student,yes
no,560,unknown,entrepreneur,yes
yes,543,unknown,blue-collar,yes
no,539,unknown,admin.,yes
no,733,unknown,blue-collar,yes
no,791,unknown,blue-collar,yes
no,746,unknown,unemployed,yes
no,1207,unknown,blue-collar,yes
no,535,unknown,technician,yes
no,1059,unknown,blue-collar,yes
no,789,unknown,management,yes
no,792,unknown,admin.,yes
no,833,unknown,blue-collar,yes
no,814,unknown,blue-collar,yes
no,1363,unknown,management,yes
no,751,unknown,blue-collar,yes
no,1109,unknown,blue-collar,yes
no,828,unknown,blue-collar,yes
no,917,unknown,management,yes
no,553,unknown,technician,yes
no,762,unknown,technician,yes
yes,1133,unknown,blue-collar,yes
no,638,unknown,management,yes
no,763,unknown,management,yes
no,682,unknown,technician,yes
no,604,unknown,admin.,yes
no,854,unknown,services,yes
no,855,unknown,unemployed,yes
no,1269,unknown,management,yes
no,691,unknown,technician,yes
no,1097,unknown,technician,yes
no,1500,unknown,self-employed,yes
no,1236,unknown,services,yes
no,886,unknown,unemployed,yes
yes,1343,unknown,blue-collar,yes
no,812,unknown,technician,yes
no,1980,unknown,blue-collar,yes
no,722,unknown,technician,yes
no,984,unknown,management,yes
no,228,unknown,management,yes
no,891,unknown,technician,yes
no,745,unknown,unemployed,yes
no,539,unknown,management,yes
no,1044,unknown,entrepreneur,yes
no,1193,unknown,blue-collar,yes
no,526,unknown,management,yes
no,394,unknown,services,yes
yes,659,unknown,blue-collar,yes
no,1036,unknown,services,yes
no,815,unknown,technician,yes
no,563,unknown,services,yes
no,1068,unknown,management,yes
no,230,unknown,management,yes
no,747,unknown,blue-collar,yes
no,671,unknown,blue-collar,yes
no,555,unknown,technician,yes
no,777,unknown,blue-collar,yes
no,605,unknown,unemployed,yes
no,707,unknown,blue-collar,yes
no,432,unknown,management,yes
no,1173,unknown,technician,yes
yes,963,unknown,unemployed,yes
yes,941,unknown,self-employed,yes
no,1025,unknown,entrepreneur,yes
no,732,unknown,management,yes
no,1045,unknown,services,yes
no,768,unknown,services,yes
no,801,unknown,management,yes
no,482,unknown,blue-collar,yes
no,2456,unknown,blue-collar,yes
no,1259,unknown,services,yes
no,1363,unknown,admin.,yes
no,1336,unknown,technician,yes
no,633,unknown,management,yes
yes,1242,unknown,blue-collar,yes
no,524,unknown,admin.,yes
no,1141,unknown,blue-collar,yes
no,578,unknown,services,yes
no,984,unknown,blue-collar,yes
no,638,unknown,blue-collar,yes
no,767,unknown,management,yes
no,525,unknown,management,yes
no,563,unknown,services,yes
yes,1449,unknown,self-employed,yes
no,920,unknown,blue-collar,yes
no,1181,unknown,blue-collar,yes
no,908,unknown,admin.,yes
no,504,unknown,unemployed,yes
no,208,unknown,blue-collar,yes
no,812,unknown,retired,yes
no,910,unknown,retired,yes
no,1446,unknown,entrepreneur,yes
no,1149,unknown,entrepreneur,yes
no,1123,unknown,management,yes
no,508,unknown,admin.,yes
no,736,unknown,blue-collar,yes
no,590,unknown,management,yes
no,636,unknown,services,yes
yes,701,unknown,housemaid,yes
no,761,unknown,blue-collar,yes
no,1558,unknown,housemaid,yes
no,1053,unknown,housemaid,yes
no,562,unknown,self-employed,yes
yes,1865,unknown,self-employed,yes
no,817,unknown,admin.,yes
no,494,unknown,technician,yes
no,1018,unknown,blue-collar,yes
no,884,unknown,blue-collar,yes
no,406,unknown,housemaid,yes
no,554,unknown,self-employed,yes
no,709,unknown,technician,yes
yes,1276,unknown,admin.,yes
yes,381,unknown,blue-collar,yes
no,862,unknown,admin.,yes
no,460,unknown,management,yes
no,712,unknown,technician,yes
no,642,unknown,self-employed,yes
no,554,unknown,blue-collar,yes
no,467,unknown,services,yes
no,648,unknown,technician,yes
no,2653,unknown,blue-collar,yes
no,1085,unknown,management,yes
no,94,unknown,admin.,yes
no,369,unknown,blue-collar,yes
no,1469,unknown,self-employed,yes
no,685,unknown,blue-collar,yes
no,1055,unknown,management,yes
no,882,unknown,services,yes
no,901,unknown,management,yes
no,700,unknown,self-employed,yes
no,491,unknown,technician,yes
no,940,unknown,blue-collar,yes
no,3881,unknown,management,yes
no,952,unknown,technician,yes
no,486,unknown,blue-collar,yes
no,442,unknown,blue-collar,yes
no,1137,unknown,self-employed,yes
no,878,unknown,entrepreneur,yes
yes,583,unknown,admin.,yes
no,1159,unknown,admin.,yes
yes,893,unknown,management,yes
yes,867,unknown,housemaid,yes
no,587,unknown,retired,yes
no,706,unknown,retired,yes
no,1199,unknown,retired,yes
no,935,unknown,blue-collar,yes
no,586,unknown,management,yes
no,967,unknown,blue-collar,yes
no,595,unknown,unemployed,yes
no,1290,unknown,admin.,yes
no,1010,unknown,management,yes
no,614,unknown,blue-collar,yes
no,885,unknown,admin.,yes
no,651,unknown,self-employed,yes
no,993,unknown,housemaid,yes
no,577,unknown,management,yes
no,1141,unknown,blue-collar,yes
no,1268,unknown,blue-collar,yes
no,541,unknown,admin.,yes
yes,1243,unknown,management,yes
no,465,unknown,blue-collar,yes
no,513,unknown,blue-collar,yes
no,686,unknown,blue-collar,yes
yes,741,unknown,retired,yes
no,1323,unknown,blue-collar,yes
no,617,unknown,entrepreneur,yes
no,1093,unknown,services,yes
no,1395,unknown,blue-collar,yes
no,1089,unknown,unemployed,yes
no,1248,unknown,management,yes
yes,721,unknown,blue-collar,yes
no,750,unknown,technician,yes
no,637,unknown,management,yes
no,2769,unknown,entrepreneur,yes
no,556,unknown,management,yes
no,522,unknown,technician,yes
no,490,unknown,management,yes
no,1051,unknown,technician,yes
no,1345,unknown,student,yes
no,676,unknown,management,yes
no,775,unknown,blue-collar,yes
no,2621,unknown,management,yes
no,835,unknown,retired,yes
no,1029,unknown,self-employed,yes
no,371,unknown,services,yes
no,1528,unknown,admin.,yes
no,1540,unknown,management,yes
no,973,unknown,blue-collar,yes
no,537,unknown,blue-collar,yes
no,707,unknown,entrepreneur,yes
yes,625,unknown,technician,yes
no,1255,unknown,admin.,yes
no,2093,unknown,housemaid,yes
no,704,unknown,blue-collar,yes
no,771,unknown,admin.,yes
no,1060,unknown,management,yes
yes,1574,unknown,blue-collar,yes
no,1135,unknown,blue-collar,yes
no,512,unknown,admin.,yes
yes,1007,unknown,retired,yes
no,1318,unknown,technician,yes
no,922,unknown,housemaid,yes
no,585,unknown,services,yes
no,2028,unknown,management,yes
no,952,unknown,entrepreneur,yes
no,834,unknown,retired,yes
no,500,unknown,retired,yes
no,651,unknown,blue-collar,yes
no,835,unknown,technician,yes
no,683,unknown,blue-collar,yes
no,1012,unknown,blue-collar,yes
no,958,unknown,blue-collar,yes
no,973,unknown,unemployed,yes
no,1467,unknown,retired,yes
no,792,unknown,management,yes
yes,911,unknown,services,yes
no,382,unknown,blue-collar,yes
no,1210,unknown,retired,yes
no,716,unknown,technician,yes
yes,838,unknown,services,yes
yes,422,unknown,management,yes
yes,1098,unknown,management,yes
no,1573,unknown,technician,yes
no,1663,unknown,blue-collar,yes
yes,560,unknown,technician,yes
yes,1617,unknown,management,yes
yes,570,unknown,blue-collar,yes
no,1422,unknown,blue-collar,yes
no,1023,unknown,services,yes
no,808,unknown,services,yes
no,585,unknown,blue-collar,yes
no,693,unknown,management,yes
no,546,unknown,management,yes
no,1094,unknown,admin.,yes
yes,1036,unknown,blue-collar,yes
no,1409,unknown,services,yes
no,988,unknown,unemployed,yes
no,498,unknown,blue-collar,yes
no,670,unknown,admin.,yes
no,662,unknown,management,yes
no,528,unknown,blue-collar,yes
no,519,unknown,blue-collar,yes
yes,677,unknown,technician,yes
yes,3183,unknown,admin.,yes
yes,422,unknown,blue-collar,yes
yes,856,unknown,admin.,yes
no,479,unknown,blue-collar,yes
no,1135,unknown,technician,yes
no,650,unknown,technician,yes
yes,587,unknown,services,yes
yes,676,unknown,services,yes
no,584,unknown,technician,yes
no,1576,unknown,services,yes
no,150,unknown,blue-collar,yes
no,1044,unknown,blue-collar,yes
no,491,unknown,blue-collar,yes
no,494,unknown,blue-collar,yes
no,615,unknown,technician,yes
no,718,unknown,technician,yes
no,434,unknown,blue-collar,yes
no,782,unknown,services,yes
no,1272,unknown,management,yes
yes,722,unknown,entrepreneur,yes
no,621,unknown,technician,yes
no,629,unknown,self-employed,yes
no,385,unknown,unemployed,yes
no,889,unknown,self-employed,yes
yes,625,unknown,admin.,yes
yes,532,unknown,technician,yes
yes,574,unknown,admin.,yes
yes,599,unknown,blue-collar,yes
yes,849,unknown,blue-collar,yes
yes,973,unknown,technician,yes
no,830,unknown,admin.,yes
no,719,unknown,blue-collar,yes
yes,509,unknown,management,yes
yes,740,unknown,entrepreneur,yes
no,534,unknown,entrepreneur,yes
yes,732,unknown,technician,yes
no,531,unknown,self-employed,yes
yes,634,unknown,technician,yes
yes,460,unknown,blue-collar,yes
no,705,unknown,admin.,yes
yes,574,unknown,technician,yes
yes,1767,unknown,services,yes
yes,681,unknown,blue-collar,yes
yes,1082,unknown,entrepreneur,yes
yes,730,unknown,management,yes
yes,716,unknown,services,yes
yes,803,unknown,blue-collar,yes
yes,831,unknown,blue-collar,yes
no,635,unknown,technician,yes
yes,819,unknown,blue-collar,yes
yes,658,unknown,admin.,yes
yes,1061,unknown,technician,yes
yes,687,unknown,blue-collar,yes
no,537,unknown,unemployed,yes
no,781,unknown,blue-collar,yes
no,1486,unknown,blue-collar,yes
no,645,unknown,admin.,yes
no,1242,unknown,blue-collar,yes
no,990,unknown,entrepreneur,yes
no,662,unknown,services,yes
yes,625,unknown,blue-collar,yes
yes,727,unknown,technician,yes
yes,426,unknown,admin.,yes
no,1121,unknown,management,yes
no,869,unknown,services,yes
yes,556,unknown,management,yes
yes,359,unknown,technician,yes
yes,1014,unknown,management,yes
yes,1290,unknown,blue-collar,yes
yes,564,unknown,management,yes
yes,1439,unknown,blue-collar,yes
yes,919,unknown,unemployed,yes
yes,1426,unknown,blue-collar,yes
no,901,unknown,blue-collar,yes
no,998,unknown,blue-collar,yes
no,255,unknown,blue-collar,yes
yes,804,unknown,entrepreneur,yes
yes,961,unknown,admin.,yes
no,39,unknown,blue-collar,yes
no,982,unknown,admin.,yes
no,584,unknown,blue-collar,yes
yes,720,unknown,admin.,yes
yes,627,unknown,blue-collar,yes
yes,1341,unknown,blue-collar,yes
no,634,unknown,blue-collar,yes
yes,829,unknown,services,yes
no,476,unknown,services,yes
no,724,unknown,admin.,yes
no,500,unknown,management,yes
yes,2029,unknown,technician,yes
no,1499,unknown,blue-collar,yes
yes,1399,unknown,blue-collar,yes
no,1187,unknown,management,yes
no,487,unknown,student,yes
yes,1097,unknown,blue-collar,yes
no,812,unknown,self-employed,yes
no,1060,unknown,blue-collar,yes
yes,614,unknown,services,yes
no,764,unknown,retired,yes
no,1120,unknown,management,yes
no,963,unknown,management,yes
no,1973,unknown,management,yes
no,1041,unknown,management,yes
no,911,unknown,admin.,yes
no,853,unknown,technician,yes
no,1649,unknown,admin.,yes
no,1310,unknown,admin.,yes
yes,1397,unknown,entrepreneur,yes
no,1153,unknown,management,yes
no,766,unknown,technician,yes
no,788,unknown,entrepreneur,yes
yes,1130,unknown,technician,yes
no,1062,unknown,admin.,yes
no,1669,unknown,admin.,yes
yes,1336,unknown,services,yes
no,444,unknown,technician,yes
no,894,unknown,technician,yes
yes,805,unknown,management,yes
yes,533,unknown,admin.,yes
yes,1056,unknown,services,yes
no,815,unknown,management,yes
no,808,unknown,entrepreneur,yes
no,860,unknown,blue-collar,yes
no,878,unknown,blue-collar,yes
yes,881,unknown,services,yes
no,981,unknown,retired,yes
yes,820,unknown,management,yes
yes,1001,unknown,entrepreneur,yes
no,514,unknown,management,yes
no,716,unknown,blue-collar,yes
yes,955,unknown,blue-collar,yes
yes,687,unknown,services,yes
yes,769,unknown,entrepreneur,yes
no,889,unknown,student,yes
yes,1424,unknown,blue-collar,yes
no,838,unknown,management,yes
no,448,unknown,entrepreneur,yes
no,632,unknown,blue-collar,yes
no,767,unknown,management,yes
no,578,unknown,blue-collar,yes
yes,1806,unknown,blue-collar,yes
no,496,unknown,management,yes
no,586,unknown,technician,yes
no,689,unknown,management,yes
no,555,unknown,blue-collar,yes
no,686,unknown,blue-collar,yes
yes,435,unknown,technician,yes
yes,830,unknown,blue-collar,yes
no,873,unknown,unemployed,yes
no,1222,unknown,blue-collar,yes
no,988,unknown,blue-collar,yes
no,652,unknown,admin.,yes
yes,1019,unknown,blue-collar,yes
no,709,unknown,blue-collar,yes
no,561,unknown,admin.,yes
no,455,unknown,management,yes
yes,1018,unknown,blue-collar,yes
yes,1039,unknown,services,yes
no,700,unknown,technician,yes
no,781,unknown,student,yes
yes,1656,unknown,management,yes
yes,1150,unknown,blue-collar,yes
no,923,unknown,housemaid,yes
yes,753,unknown,blue-collar,yes
no,1275,unknown,blue-collar,yes
no,342,unknown,technician,yes
no,1008,unknown,blue-collar,yes
yes,538,unknown,services,yes
no,795,unknown,management,yes
no,926,unknown,technician,yes
no,1027,unknown,services,yes
no,1584,unknown,self-employed,yes
no,582,unknown,blue-collar,yes
no,1448,unknown,admin.,yes
no,656,unknown,technician,yes
no,1319,unknown,management,yes
no,1208,unknown,housemaid,yes
no,1175,unknown,blue-collar,yes
no,536,unknown,management,yes
no,991,unknown,services,yes
yes,1153,unknown,blue-collar,yes
no,1303,unknown,housemaid,yes
no,623,unknown,entrepreneur,yes
no,674,unknown,technician,yes
no,1081,unknown,housemaid,yes
yes,572,unknown,management,yes
no,494,unknown,services,yes
no,978,unknown,services,yes
no,536,unknown,technician,yes
no,968,unknown,blue-collar,yes
no,474,unknown,technician,yes
no,516,unknown,services,yes
no,278,unknown,blue-collar,yes
no,610,unknown,blue-collar,yes
no,560,unknown,self-employed,yes
no,640,unknown,blue-collar,yes
no,420,unknown,admin.,yes
no,658,unknown,admin.,yes
no,655,unknown,housemaid,yes
no,641,unknown,admin.,yes
no,415,unknown,admin.,yes
no,635,unknown,entrepreneur,yes
no,1127,unknown,technician,yes
no,1360,unknown,management,yes
no,588,unknown,blue-collar,yes
yes,1373,unknown,admin.,yes
yes,913,unknown,blue-collar,yes
no,799,unknown,entrepreneur,yes
no,1139,unknown,management,yes
no,638,unknown,management,yes
yes,1105,unknown,services,yes
yes,854,unknown,retired,yes
yes,1039,unknown,blue-collar,yes
yes,574,unknown,blue-collar,yes
no,919,unknown,technician,yes
no,1017,unknown,services,yes
no,733,unknown,management,yes
no,553,unknown,management,yes
no,1080,unknown,blue-collar,yes
yes,710,unknown,technician,yes
no,891,unknown,retired,yes
no,691,unknown,unemployed,yes
yes,1877,unknown,services,yes
no,857,unknown,student,yes
no,1130,unknown,housemaid,yes
no,577,unknown,blue-collar,yes
no,1342,unknown,admin.,yes
yes,1002,unknown,technician,yes
yes,985,unknown,management,yes
no,1360,unknown,services,yes
no,1134,unknown,management,yes
no,712,unknown,management,yes
no,1352,unknown,admin.,yes
no,1077,unknown,management,yes
yes,560,unknown,management,yes
no,1545,unknown,technician,yes
no,654,unknown,technician,yes
no,1833,unknown,technician,yes
no,1508,unknown,management,yes
no,598,unknown,blue-collar,yes
no,560,unknown,admin.,yes
yes,1237,unknown,services,yes
no,864,unknown,blue-collar,yes
no,1037,unknown,admin.,yes
no,802,unknown,admin.,yes
no,1608,unknown,services,yes
no,754,unknown,management,yes
no,870,unknown,management,yes
no,761,unknown,management,yes
no,633,unknown,blue-collar,yes
yes,690,unknown,technician,yes
yes,529,unknown,services,yes
yes,1152,unknown,management,yes
no,956,unknown,blue-collar,yes
no,957,unknown,technician,yes
no,1327,unknown,entrepreneur,yes
yes,2078,unknown,blue-collar,yes
no,1124,unknown,student,yes
no,228,unknown,technician,yes
no,808,unknown,admin.,yes
no,638,unknown,admin.,yes
yes,1201,unknown,admin.,yes
no,1309,unknown,self-employed,yes
no,1359,unknown,services,yes
yes,416,unknown,technician,yes
no,532,unknown,entrepreneur,yes
no,430,unknown,services,yes
no,853,unknown,blue-collar,yes
no,1204,unknown,entrepreneur,yes
yes,1417,unknown,retired,yes
yes,1484,unknown,entrepreneur,yes
yes,1441,unknown,management,yes
no,454,unknown,admin.,yes
yes,651,unknown,blue-collar,yes
no,1491,unknown,management,yes
no,903,unknown,student,yes
no,873,unknown,admin.,yes
no,709,unknown,technician,yes
no,901,unknown,blue-collar,yes
no,821,unknown,services,yes
no,367,unknown,technician,yes
no,458,unknown,services,yes
no,1602,unknown,unemployed,yes
no,1492,unknown,retired,yes
no,1422,unknown,technician,yes
yes,728,unknown,technician,yes
no,979,unknown,blue-collar,yes
no,616,unknown,blue-collar,yes
yes,784,unknown,technician,yes
yes,1000,unknown,services,yes
yes,695,unknown,blue-collar,yes
no,735,unknown,admin.,yes
no,862,unknown,management,yes
no,1946,unknown,retired,yes
no,362,unknown,housemaid,yes
no,743,unknown,technician,yes
no,2015,unknown,unemployed,yes
yes,1031,unknown,management,yes
no,590,unknown,blue-collar,yes
no,1330,unknown,management,yes
yes,946,unknown,blue-collar,yes
yes,1448,unknown,retired,yes
no,279,unknown,management,yes
yes,661,unknown,blue-collar,yes
no,1369,unknown,technician,yes
no,653,unknown,technician,yes
no,458,unknown,management,yes
no,365,unknown,admin.,yes
yes,664,unknown,management,yes
no,699,unknown,self-employed,yes
yes,939,unknown,housemaid,yes
no,745,unknown,services,yes
yes,662,unknown,blue-collar,yes
no,412,unknown,services,yes
no,1169,unknown,housemaid,yes
yes,431,unknown,entrepreneur,yes
no,837,unknown,technician,yes
no,596,unknown,technician,yes
no,383,unknown,services,yes
no,1009,unknown,self-employed,yes
no,1096,unknown,blue-collar,yes
yes,867,unknown,retired,yes
yes,551,unknown,technician,yes
no,890,unknown,admin.,yes
no,1076,unknown,admin.,yes
no,874,unknown,management,yes
no,710,unknown,services,yes
no,600,unknown,blue-collar,yes
no,2516,unknown,technician,yes
no,454,unknown,blue-collar,yes
no,1058,unknown,retired,yes
no,884,unknown,unemployed,yes
no,616,unknown,admin.,yes
yes,816,unknown,self-employed,yes
yes,808,unknown,blue-collar,yes
no,1127,unknown,admin.,yes
no,1011,unknown,admin.,yes
no,1013,unknown,housemaid,yes
yes,802,unknown,management,yes
no,684,unknown,blue-collar,yes
no,566,unknown,self-employed,yes
no,843,unknown,services,yes
no,650,unknown,blue-collar,yes
no,542,unknown,management,yes
yes,788,unknown,unemployed,yes
no,988,unknown,entrepreneur,yes
no,814,unknown,management,yes
no,694,unknown,unemployed,yes
yes,543,unknown,services,yes
no,441,unknown,retired,yes
yes,1171,unknown,services,yes
no,729,unknown,management,yes
no,509,unknown,blue-collar,yes
no,1089,unknown,entrepreneur,yes
yes,1211,unknown,housemaid,yes
no,458,unknown,technician,yes
no,540,unknown,management,yes
no,761,unknown,retired,yes
no,695,unknown,entrepreneur,yes
no,764,unknown,management,yes
no,356,unknown,technician,yes
no,2692,unknown,housemaid,yes
no,675,unknown,housemaid,yes
no,782,unknown,admin.,yes
yes,962,unknown,technician,yes
no,481,unknown,unemployed,yes
no,812,unknown,self-employed,yes
no,630,unknown,blue-collar,yes
no,1088,unknown,blue-collar,yes
yes,1150,unknown,technician,yes
no,574,unknown,unemployed,yes
no,725,unknown,entrepreneur,yes
no,463,unknown,housemaid,yes
no,662,unknown,services,yes
no,727,unknown,blue-collar,yes
no,1107,unknown,blue-collar,yes
yes,829,unknown,technician,yes
yes,612,unknown,self-employed,yes
no,644,unknown,management,yes
no,1461,unknown,housemaid,yes
no,361,unknown,management,yes
no,1212,unknown,management,yes
no,1007,unknown,blue-collar,yes
yes,1039,unknown,admin.,yes
no,1142,unknown,admin.,yes
no,1721,unknown,unemployed,yes
no,1032,unknown,services,yes
no,846,unknown,technician,yes
no,870,unknown,housemaid,yes
no,1165,unknown,management,yes
no,1110,unknown,retired,yes
no,1486,unknown,management,yes
no,1488,unknown,technician,yes
no,603,unknown,management,yes
no,641,unknown,retired,yes
no,837,unknown,technician,yes
no,553,unknown,technician,yes
no,794,unknown,blue-collar,yes
yes,836,unknown,retired,yes
no,1134,unknown,housemaid,yes
no,1109,unknown,management,yes
no,607,unknown,unknown,yes
no,1536,unknown,management,yes
no,1186,unknown,unknown,yes
no,515,unknown,retired,yes
no,1092,unknown,admin.,yes
no,720,unknown,admin.,yes
no,935,unknown,technician,yes
no,1051,unknown,management,yes
no,1200,unknown,blue-collar,yes
no,531,unknown,technician,yes
no,766,unknown,services,yes
no,1311,unknown,technician,yes
yes,618,unknown,technician,yes
no,875,unknown,technician,yes
no,419,unknown,technician,yes
no,1227,unknown,technician,yes
no,1357,unknown,retired,yes
no,455,unknown,retired,yes
no,406,unknown,admin.,yes
no,902,unknown,management,yes
no,740,unknown,admin.,yes
no,637,unknown,management,yes
no,501,unknown,management,yes
no,835,unknown,services,yes
no,720,unknown,management,yes
no,836,unknown,management,yes
no,490,unknown,management,yes
no,763,unknown,technician,yes
no,649,unknown,technician,yes
no,938,unknown,blue-collar,yes
no,641,unknown,management,yes
no,738,unknown,technician,yes
no,1044,unknown,technician,yes
yes,482,unknown,technician,yes
no,1249,unknown,self-employed,yes
no,996,unknown,blue-collar,yes
no,1250,unknown,admin.,yes
no,1471,unknown,blue-collar,yes
no,1456,unknown,management,yes
no,587,unknown,technician,yes
no,395,unknown,technician,yes
